Dialogue_ID,Character,Text_Content,Next_Action,Memo
PUZZLE_01_MONOLOGUE_01,주인공,모니터라면 작업실에 있는 걸 말하는 건가? 일단 가보자.,MOVE_WORKROOM,편지 발견 후 독백 
PUZZLE_01_INFORMATION_01,시스템,"금기사항 목록
1. 하루 활동은 3회로 제한.
[금기사항 목록]
1. 하루 활동은 3회로 제한.
2. 전력이 50 아래로 떨어지지 않도록 주의할 것.
3. 일주일에 15건 이상의 편지를 검열할 것.
4. 외부인과의 접근은 엄격히 금함.
※ ▒▒▒ #%)))))@# [로그 데이터가 유실되었습니다] ▒▒▒",MOVE_PASSAGE,작업실 모니터 금기사항 파일 오픈
PUZZLE_01_WARNING_01,시스템,해당 파일은 손상되었습니다.,NONE,다른 파일 열람 시 오류 메시지
PUZZLE_01_MONOLOGUE_02,주인공,"첫 번째 열쇠라는 게 뭘까?
… 그나저나 통제실로 가야할 것 같아.
지도는 복도 게시판에서 본 기억이 있어.",START_PUZZLE,복도 이동하면서 독백
PUZZLE_01_INFORMATION_02,시스템,"현재 위치: 복도 B-2
목적지: 중앙 통제실 (잠금 상태)
패스워드 입력: [ _ _ _ _ _ ]
낙서 내용:""규칙의 무게만큼만 누를 것.""",CLEAR_PUZZLE,비밀번호 입력 (35015)
PUZZLE_02_MONOLOGUE_01,주인공,카드키를 대어보자.,OPEN_DOOR,통제실 진입 독백
PUZZLE_02_WARNING_01,시스템,[인증 실패: 일반 사원은 접근할 수 없습니다.],NONE,카드키 접촉 시 오류 메시지
PUZZLE_02_MONOLOGUE_02,주인공,"열리지 않는다…
ID 카드키가 필요한 걸까? 
주변에 떨어져 있는 게 없는지 더 둘러보자.",START_PUZZLE,주변을 살펴보면서 독백
PUZZLE_02_MONOLOGUE_03,주인공,"카드키 없이 문이 열렸어... 
벽에 이런 걸 숨겨두다니. 회사가 보여주는 게 전부가 아니었어.",MOVE_CCR,퍼즐 클리어 후 독백
PUZZLE_03_MONOLOGUE_01,주인공,"내가 상상했던 풍경과는 차원이 달라…
우와………
…
여기만 탈출하면 저기 보이는 모든 행성들에 갈 수 있다는 거지? 
메인 콘솔에 접근해보자. ",MOVE_CONSOLE,중앙 통제실 진입 독백
PUZZLE_03_WARNING_01,시스템,"[시스템 경고: 보안 규정 위반]
비이상적인 접근이 감지되었습니다. 보안이 강화됩니다. 
비이상적인 접근이 감지되었습니다. 보안이 강화됩니다.",NONE,콘솔 접근시 경고 메시지
PUZZLE_03_MONOLOGUE_02,주인공,"(중앙 통제실에서 외부로 나가는 문이 잠긴 것 같다.)
침착하자.
여기도 분명 쪽지가 있을 거야.",FIND_NOTE,이동하면서 독백
PUZZLE_03_INFROMAITON_01,시스템,,NONE,퍼즐 클리어 시 행성 고유 이름 출력
PUZZLE_03_MONOLOGUE_03,주인공,"와… 너무 아름다워.
………
아차, 이럴 때가 아니지. 감시자들이 눈치채기 전에 움직여야 해.
저 화면에 떠 있는 행성 이름은 기억해 두는 게 좋겠어. 나중에 쓸모가 있을지 모르니까.
여기서 연결된 경로는 메인 기록실뿐이네. 바로 이동하자.",MOVE_EMEREXIT,퍼즐 클리어 후 독백
PUZZLE_04_MONOLOGUE_01,주인공,"기록실이라…
통제실이 차단되면서 기록실 문도 잠겨버렸어. 여는 방법을 찾아야 해…",INTERACT_NOTE,비상 통로 입구 진입 독백
PUZZLE_04_MONOLOGUE_02,주인공,"드디어…
메인기록실이다..
들키기 전에 얼른 가자.",MOVE_RECORD,퍼즐 클리어 후 독백
PUZZLE_05_MONOLOGUE_01,주인공,"여기가... 메인기록실이구나…
우주선을 타려면 격납고로 가야해…
….
이쪽이 격납고로 가는 문인가봐..
잠겨있네.
이제 격납고로 가서 진짜 우주선을 타고 탈출하는 일만 남았는데…
잠깐, 문 옆의 단말기에 마스터키 입력창이 떠 있어. A가 남긴 편지에 힌트가 있을 거야",READ_NOTE,메인 기록실 진입 시 독백
PUZZLE_05_FAIL_01,시스템,[인증 실패: 보안 권한이 거부되었습니다.],NONE,비밀번호 오답 시 오류 메시지
PUZZLE_05_CLEAR_01,시스템,[인증 완료: 메인 기록실과 우주선 격납고 간의 비상 통로가 개방되었습니다.],OPEN_DOOR,비밀번호 정답 시 안내 메시지
PUZZLE_05_MONOLOGUE_02,주인공,드디어 이곳을 나갈 수 있어,MOVE_HANGER,퍼즐 클리어 후 독백
PUZZLE_06_MONOLOGUE_01,주인공,"저게... 진짜 우주선이야.
나갈 수 있어.
더 이상 이곳에 갇혀 있지 않을 거야.",START_REPAIR,우주선 격납고 진입 독백
PUZZLE_06_MONOLOGUE_02,주인공,와…… 정말 아름답다……. 이제 나도 진짜 자유야.,GMAE_CLEAR,
